Data Source,World Development Indicators,
,,
Last Updated Date,11/14/18,
,,
Country,year,CO2 emissions (kt)
Somalia,1960,84.341
Somalia,1961,88.008
Somalia,1962,106.343
Somalia,1963,102.676
Somalia,1964,135.679
Somalia,1965,132.012
Somalia,1966,139.346
Somalia,1967,227.354
Somalia,1968,154.014
Somalia,1969,161.348
Somalia,1970,216.353
Somalia,1971,187.017
Somalia,1972,234.688
Somalia,1973,264.024
Somalia,1974,330.03
Somalia,1975,502.379
Somalia,1976,480.377
Somalia,1977,799.406
Somalia,1978,557.384
Somalia,1979,487.711
Somalia,1980,814.074
Somalia,1981,275.025
Somalia,1982,718.732
Somalia,1983,935.085
Somalia,1984,715.065
Somalia,1985,858.078
Somalia,1986,924.084
Somalia,1987,993.757
Somalia,1988,1008.425
Somalia,1989,957.087
Somalia,1990,733.4
Somalia,1991,707.731
Somalia,1992,682.062
Somalia,1993,641.725
Somalia,1994,630.724
Somalia,1995,590.387
Somalia,1996,568.385
Somalia,1997,539.049
Somalia,1998,513.38
Somalia,1999,491.378
Somalia,2000,480.377
Somalia,2001,502.379
Somalia,2002,586.72
Somalia,2003,594.054
Somalia,2004,594.054
Somalia,2005,594.054
Somalia,2006,594.054
Somalia,2007,608.722
Somalia,2008,601.388
Somalia,2009,597.721
Somalia,2010,612.389
Somalia,2011,605.055
Somalia,2012,608.722
Somalia,2013,608.722
Somalia,2014,608.722
