,c_code_1,state_name_1,year,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties
0,230,Spain,1816,1,0,0,1,0,0.0,0.0
1,255,Germany,1816,10,10,0,10,0,7.0,10.0
2,267,Baden,1816,7,7,0,7,0,7.0,7.0
3,271,Wuerttemburg,1816,7,7,0,7,0,7.0,7.0
4,380,Sweden,1816,1,1,0,0,0,0.0,1.0
5,275,Hesse Grand Ducal,1816,7,7,0,7,0,7.0,7.0
6,235,Portugal,1816,1,1,1,1,0,1.0,0.0
7,329,Two Sicilies,1816,1,1,0,1,0,0.0,1.0
8,337,Tuscany,1816,1,1,0,1,0,0.0,1.0
9,210,Netherlands,1816,1,0,0,1,0,0.0,0.0
10,200,United Kingdom,1816,5,5,1,4,0,1.0,4.0
11,300,Austria-Hungary,1816,12,12,0,12,0,7.0,12.0
12,365,Russia,1816,3,3,0,3,0,0.0,3.0
13,269,Saxony,1816,7,7,0,7,0,7.0,7.0
14,245,Bavaria,1816,7,7,0,7,0,7.0,7.0
15,273,Hesse Electoral,1816,7,7,0,7,0,7.0,7.0
16,273,Hesse Electoral,1817,7,7,0,7,0,7.0,7.0
17,230,Spain,1817,1,0,0,1,0,0.0,0.0
18,255,Germany,1817,10,10,0,10,0,7.0,10.0
19,365,Russia,1817,3,3,0,3,0,0.0,3.0
20,267,Baden,1817,7,7,0,7,0,7.0,7.0
21,269,Saxony,1817,7,7,0,7,0,7.0,7.0
22,275,Hesse Grand Ducal,1817,7,7,0,7,0,7.0,7.0
23,300,Austria-Hungary,1817,12,12,0,12,0,7.0,12.0
24,245,Bavaria,1817,7,7,0,7,0,7.0,7.0
25,210,Netherlands,1817,1,0,0,1,0,0.0,0.0
26,200,United Kingdom,1817,5,5,1,4,0,1.0,4.0
27,329,Two Sicilies,1817,1,1,0,1,0,0.0,1.0
28,380,Sweden,1817,1,1,0,0,0,0.0,1.0
29,235,Portugal,1817,1,1,1,1,0,1.0,0.0
30,271,Wuerttemburg,1817,7,7,0,7,0,7.0,7.0
31,337,Tuscany,1817,1,1,0,1,0,0.0,1.0
32,329,Two Sicilies,1818,1,1,0,1,0,0.0,1.0
33,245,Bavaria,1818,7,7,0,7,0,7.0,7.0
34,267,Baden,1818,7,7,0,7,0,7.0,7.0
35,337,Tuscany,1818,1,1,0,1,0,0.0,1.0
36,255,Germany,1818,10,10,0,10,0,7.0,10.0
37,275,Hesse Grand Ducal,1818,7,7,0,7,0,7.0,7.0
38,230,Spain,1818,1,0,0,1,0,0.0,0.0
39,235,Portugal,1818,1,1,1,1,0,1.0,0.0
40,273,Hesse Electoral,1818,7,7,0,7,0,7.0,7.0
41,300,Austria-Hungary,1818,12,12,0,12,0,7.0,12.0
42,380,Sweden,1818,1,1,0,0,0,0.0,1.0
43,271,Wuerttemburg,1818,7,7,0,7,0,7.0,7.0
44,365,Russia,1818,3,3,0,3,0,0.0,3.0
45,200,United Kingdom,1818,5,5,1,4,0,1.0,4.0
46,269,Saxony,1818,7,7,0,7,0,7.0,7.0
47,210,Netherlands,1818,1,0,0,1,0,0.0,0.0
48,255,Germany,1819,10,10,0,10,0,7.0,10.0
49,275,Hesse Grand Ducal,1819,7,7,0,7,0,7.0,7.0
50,380,Sweden,1819,1,1,0,0,0,0.0,1.0
51,271,Wuerttemburg,1819,7,7,0,7,0,7.0,7.0
52,235,Portugal,1819,1,1,1,1,0,1.0,0.0
53,267,Baden,1819,7,7,0,7,0,7.0,7.0
54,269,Saxony,1819,7,7,0,7,0,7.0,7.0
55,365,Russia,1819,3,3,0,3,0,0.0,3.0
56,300,Austria-Hungary,1819,12,12,0,12,0,7.0,12.0
57,200,United Kingdom,1819,5,5,1,4,0,1.0,4.0
58,273,Hesse Electoral,1819,7,7,0,7,0,7.0,7.0
59,210,Netherlands,1819,1,0,0,1,0,0.0,0.0
