,c_code_1,state_name_abb_1,c_code_2,state_name_abb_2,year,contiguity_type
0,2,USA,20,CAN,1920,1
1,2,USA,20,CAN,1921,1
2,2,USA,20,CAN,1922,1
3,2,USA,20,CAN,1923,1
4,2,USA,20,CAN,1924,1
5,2,USA,20,CAN,1925,1
6,2,USA,20,CAN,1926,1
7,2,USA,20,CAN,1927,1
8,2,USA,20,CAN,1928,1
9,2,USA,20,CAN,1929,1
10,2,USA,20,CAN,1930,1
11,2,USA,20,CAN,1931,1
12,2,USA,20,CAN,1932,1
13,2,USA,20,CAN,1933,1
14,2,USA,20,CAN,1934,1
15,2,USA,20,CAN,1935,1
16,2,USA,20,CAN,1936,1
17,2,USA,20,CAN,1937,1
18,2,USA,20,CAN,1938,1
19,2,USA,20,CAN,1939,1
20,2,USA,20,CAN,1940,1
21,2,USA,20,CAN,1941,1
22,2,USA,20,CAN,1942,1
23,2,USA,20,CAN,1943,1
24,2,USA,20,CAN,1944,1
25,2,USA,20,CAN,1945,1
26,2,USA,20,CAN,1946,1
27,2,USA,20,CAN,1947,1
28,2,USA,20,CAN,1948,1
29,2,USA,20,CAN,1949,1
30,2,USA,20,CAN,1950,1
31,2,USA,20,CAN,1951,1
32,2,USA,20,CAN,1952,1
33,2,USA,20,CAN,1953,1
34,2,USA,20,CAN,1954,1
35,2,USA,20,CAN,1955,1
36,2,USA,20,CAN,1956,1
37,2,USA,20,CAN,1957,1
38,2,USA,20,CAN,1958,1
39,2,USA,20,CAN,1959,1
40,2,USA,20,CAN,1960,1
41,2,USA,20,CAN,1961,1
42,2,USA,20,CAN,1962,1
43,2,USA,20,CAN,1963,1
44,2,USA,20,CAN,1964,1
45,2,USA,20,CAN,1965,1
46,2,USA,20,CAN,1966,1
47,2,USA,20,CAN,1967,1
48,2,USA,20,CAN,1968,1
49,2,USA,20,CAN,1969,1
50,2,USA,20,CAN,1970,1
51,2,USA,20,CAN,1971,1
52,2,USA,20,CAN,1972,1
53,2,USA,20,CAN,1973,1
54,2,USA,20,CAN,1974,1
55,2,USA,20,CAN,1975,1
56,2,USA,20,CAN,1976,1
57,2,USA,20,CAN,1977,1
58,2,USA,20,CAN,1978,1
59,2,USA,20,CAN,1979,1
60,2,USA,20,CAN,1980,1
61,2,USA,20,CAN,1981,1
62,2,USA,20,CAN,1982,1
63,2,USA,20,CAN,1983,1
64,2,USA,20,CAN,1984,1
65,2,USA,20,CAN,1985,1
66,2,USA,20,CAN,1986,1
67,2,USA,20,CAN,1987,1
68,2,USA,20,CAN,1988,1
69,2,USA,20,CAN,1989,1
70,2,USA,20,CAN,1990,1
71,2,USA,20,CAN,1991,1
72,2,USA,20,CAN,1992,1
73,2,USA,20,CAN,1993,1
74,2,USA,20,CAN,1994,1
75,2,USA,20,CAN,1995,1
76,2,USA,20,CAN,1996,1
77,2,USA,20,CAN,1997,1
78,2,USA,20,CAN,1998,1
79,2,USA,20,CAN,1999,1
80,2,USA,20,CAN,2000,1
81,2,USA,20,CAN,2001,1
82,2,USA,20,CAN,2002,1
83,2,USA,20,CAN,2003,1
84,2,USA,20,CAN,2004,1
85,2,USA,20,CAN,2005,1
86,2,USA,20,CAN,2006,1
87,2,USA,20,CAN,2007,1
88,2,USA,20,CAN,2008,1
89,2,USA,20,CAN,2009,1
90,2,USA,20,CAN,2010,1
91,2,USA,20,CAN,2011,1
92,2,USA,20,CAN,2012,1
93,2,USA,20,CAN,2013,1
94,2,USA,20,CAN,2014,1
95,2,USA,20,CAN,2015,1
96,2,USA,20,CAN,2016,1
97,2,USA,31,BHM,1973,4
98,2,USA,31,BHM,1974,4
99,2,USA,31,BHM,1975,4
100,2,USA,31,BHM,1976,4
101,2,USA,31,BHM,1977,4
102,2,USA,31,BHM,1978,4
103,2,USA,31,BHM,1979,4
104,2,USA,31,BHM,1980,4
105,2,USA,31,BHM,1981,4
106,2,USA,31,BHM,1982,4
107,2,USA,31,BHM,1983,4
108,2,USA,31,BHM,1984,4
109,2,USA,31,BHM,1985,4
110,2,USA,31,BHM,1986,4
111,2,USA,31,BHM,1987,4
112,2,USA,31,BHM,1988,4
113,2,USA,31,BHM,1989,4
114,2,USA,31,BHM,1990,4
115,2,USA,31,BHM,1991,4
116,2,USA,31,BHM,1992,4
117,2,USA,31,BHM,1993,4
118,2,USA,31,BHM,1994,4
119,2,USA,31,BHM,1995,4
120,2,USA,31,BHM,1996,4
121,2,USA,31,BHM,1997,4
122,2,USA,31,BHM,1998,4
123,2,USA,31,BHM,1999,4
124,2,USA,31,BHM,2000,4
125,2,USA,31,BHM,2001,4
126,2,USA,31,BHM,2002,4
127,2,USA,31,BHM,2003,4
128,2,USA,31,BHM,2004,4
129,2,USA,31,BHM,2005,4
130,2,USA,31,BHM,2006,4
131,2,USA,31,BHM,2007,4
132,2,USA,31,BHM,2008,4
133,2,USA,31,BHM,2009,4
134,2,USA,31,BHM,2010,4
135,2,USA,31,BHM,2011,4
136,2,USA,31,BHM,2012,4
137,2,USA,31,BHM,2013,4
138,2,USA,31,BHM,2014,4
139,2,USA,31,BHM,2015,4
140,2,USA,31,BHM,2016,4
141,2,USA,40,CUB,1902,4
142,2,USA,40,CUB,1903,4
143,2,USA,40,CUB,1904,4
144,2,USA,40,CUB,1905,4
145,2,USA,40,CUB,1906,4
146,2,USA,40,CUB,1909,4
147,2,USA,40,CUB,1910,4
148,2,USA,40,CUB,1911,4
149,2,USA,40,CUB,1912,4
150,2,USA,40,CUB,1913,4
151,2,USA,40,CUB,1914,4
152,2,USA,40,CUB,1915,4
153,2,USA,40,CUB,1916,4
154,2,USA,40,CUB,1917,4
155,2,USA,40,CUB,1918,4
156,2,USA,40,CUB,1919,4
157,2,USA,40,CUB,1920,4
158,2,USA,40,CUB,1921,4
159,2,USA,40,CUB,1922,4
160,2,USA,40,CUB,1923,4
161,2,USA,40,CUB,1924,4
162,2,USA,40,CUB,1925,4
163,2,USA,40,CUB,1926,4
164,2,USA,40,CUB,1927,4
165,2,USA,40,CUB,1928,4
166,2,USA,40,CUB,1929,4
167,2,USA,40,CUB,1930,4
168,2,USA,40,CUB,1931,4
169,2,USA,40,CUB,1932,4
170,2,USA,40,CUB,1933,4
171,2,USA,40,CUB,1934,4
172,2,USA,40,CUB,1935,4
173,2,USA,40,CUB,1936,4
174,2,USA,40,CUB,1937,4
175,2,USA,40,CUB,1938,4
176,2,USA,40,CUB,1939,4
177,2,USA,40,CUB,1940,4
178,2,USA,40,CUB,1941,4
179,2,USA,40,CUB,1942,4
180,2,USA,40,CUB,1943,4
181,2,USA,40,CUB,1944,4
182,2,USA,40,CUB,1945,4
183,2,USA,40,CUB,1946,4
184,2,USA,40,CUB,1947,4
185,2,USA,40,CUB,1948,4
186,2,USA,40,CUB,1949,4
187,2,USA,40,CUB,1950,4
188,2,USA,40,CUB,1951,4
189,2,USA,40,CUB,1952,4
190,2,USA,40,CUB,1953,4
191,2,USA,40,CUB,1954,4
192,2,USA,40,CUB,1955,4
193,2,USA,40,CUB,1956,4
194,2,USA,40,CUB,1957,4
195,2,USA,40,CUB,1958,4
196,2,USA,40,CUB,1959,4
197,2,USA,40,CUB,1960,4
198,2,USA,40,CUB,1961,4
199,2,USA,40,CUB,1962,4
200,2,USA,40,CUB,1963,4
201,2,USA,40,CUB,1964,4
202,2,USA,40,CUB,1965,4
203,2,USA,40,CUB,1966,4
204,2,USA,40,CUB,1967,4
205,2,USA,40,CUB,1968,4
206,2,USA,40,CUB,1969,4
207,2,USA,40,CUB,1970,4
208,2,USA,40,CUB,1971,4
209,2,USA,40,CUB,1972,4
210,2,USA,40,CUB,1973,4
211,2,USA,40,CUB,1974,4
212,2,USA,40,CUB,1975,4
213,2,USA,40,CUB,1976,4
214,2,USA,40,CUB,1977,4
215,2,USA,40,CUB,1978,4
216,2,USA,40,CUB,1979,4
217,2,USA,40,CUB,1980,4
218,2,USA,40,CUB,1981,4
219,2,USA,40,CUB,1982,4
220,2,USA,40,CUB,1983,4
221,2,USA,40,CUB,1984,4
222,2,USA,40,CUB,1985,4
223,2,USA,40,CUB,1986,4
224,2,USA,40,CUB,1987,4
225,2,USA,40,CUB,1988,4
226,2,USA,40,CUB,1989,4
227,2,USA,40,CUB,1990,4
228,2,USA,40,CUB,1991,4
229,2,USA,40,CUB,1992,4
230,2,USA,40,CUB,1993,4
231,2,USA,40,CUB,1994,4
232,2,USA,40,CUB,1995,4
233,2,USA,40,CUB,1996,4
234,2,USA,40,CUB,1997,4
235,2,USA,40,CUB,1998,4
236,2,USA,40,CUB,1999,4
237,2,USA,40,CUB,2000,4
238,2,USA,40,CUB,2001,4
239,2,USA,40,CUB,2002,4
240,2,USA,40,CUB,2003,4
241,2,USA,40,CUB,2004,4
242,2,USA,40,CUB,2005,4
243,2,USA,40,CUB,2006,4
244,2,USA,40,CUB,2007,4
245,2,USA,40,CUB,2008,4
246,2,USA,40,CUB,2009,4
247,2,USA,40,CUB,2010,4
248,2,USA,40,CUB,2011,4
249,2,USA,40,CUB,2012,4
250,2,USA,40,CUB,2013,4
251,2,USA,40,CUB,2014,4
252,2,USA,40,CUB,2015,4
253,2,USA,40,CUB,2016,4
254,2,USA,70,MEX,1831,1
255,2,USA,70,MEX,1832,1
256,2,USA,70,MEX,1833,1
257,2,USA,70,MEX,1834,1
258,2,USA,70,MEX,1835,1
259,2,USA,70,MEX,1836,1
260,2,USA,70,MEX,1837,1
261,2,USA,70,MEX,1838,1
262,2,USA,70,MEX,1839,1
263,2,USA,70,MEX,1840,1
264,2,USA,70,MEX,1841,1
265,2,USA,70,MEX,1842,1
266,2,USA,70,MEX,1843,1
267,2,USA,70,MEX,1844,1
268,2,USA,70,MEX,1845,1
269,2,USA,70,MEX,1846,1
270,2,USA,70,MEX,1847,1
271,2,USA,70,MEX,1848,1
272,2,USA,70,MEX,1849,1
273,2,USA,70,MEX,1850,1
274,2,USA,70,MEX,1851,1
275,2,USA,70,MEX,1852,1
276,2,USA,70,MEX,1853,1
277,2,USA,70,MEX,1854,1
278,2,USA,70,MEX,1855,1
279,2,USA,70,MEX,1856,1
280,2,USA,70,MEX,1857,1
281,2,USA,70,MEX,1858,1
282,2,USA,70,MEX,1859,1
283,2,USA,70,MEX,1860,1
284,2,USA,70,MEX,1861,1
285,2,USA,70,MEX,1862,1
286,2,USA,70,MEX,1863,1
287,2,USA,70,MEX,1864,1
288,2,USA,70,MEX,1865,1
289,2,USA,70,MEX,1866,1
