,cow_code,state_name,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,prim_energy_consumption,total_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_cum_duration,num_wars,ongoing_2010,revision_pct,avg_hostility_level,majority_religion,un_region,un_continent,election_type,legislation_type,legislature_status,party_legal_status,party_existance,party_existance_outside_regime,legislature_parties,incumbent_type,collective_leadership,num_leadership_changes,leader_tenure,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,regime_type,transition_to_democracy,transition_to_dictatorship,age_govt,num_transitions_ever
0,2,United States of America,1946,65.0,160000000.0,14.4,45133984000.0,3030000.0,2376288000000.0,141389000.0,0.3639884,19.0,0.0,0.0,19.0,0.0,0.0,19.0,2.0,0.2684931506849315,0.0,0.0,0.0,3.5,Christianity,Northern America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,Yes,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,77.0,0
1,651,Egypt,1946,65.0,,,31998000.0,50000.0,4046000000.0,18792000.0,0.0058118,7.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,Islam,Northern Africa,Africa,Nonelective,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,11,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,25.0,0
2,135,Peru,1946,65.0,,,26446000.0,38000.0,2166000000.0,7420000.0,0.0019487000000000003,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,8.0,0
3,652,Syria,1946,65.0,,,14540000.0,10000.0,10000000.0,2978000.0,0.0009355,6.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,Islam,Western Asia,Asia,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,4,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,1.0,0
4,660,Lebanon,1946,65.0,,,5111000.0,4000.0,16000000.0,1156000.0,0.00034989999999999994,6.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Western Asia,Asia,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,2,1,No,No,No,No,No,Yes,No,No,Parliamentary democracy,Yes,No,1.0,0
5,130,Ecuador,1946,65.0,,,4657000.0,12000.0,1052000000.0,2850000.0,0.0008445999999999999,20.0,0.0,1.0,19.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,3,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,7.0,0
6,663,Jordan,1946,65.0,,,6385000.0,8000.0,0.0,1086000.0,0.0002177,7.0,0.0,4.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,Islam,Western Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,26,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,1.0,0
7,670,Saudi Arabia,1946,65.0,,,,4000.0,23436000000.0,2930000.0,0.0018055999999999997,9.0,0.0,4.0,0.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,Islam,Western Asia,Asia,Nonelective,No legislature exists,Closed,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,15,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,31.0,0
8,101,Venezuela,1946,65.0,,,16597000.0,2000.0,6752000000.0,4390000.0,0.0012337,20.0,0.0,1.0,19.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Nonelective,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,2,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,2.0,0
9,678,Yemen Arab Republic,1946,65.0,,,,18000.0,0.0,3140000.0,0.0006468,9.0,0.0,0.0,0.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,Islam,Western Asia,Asia,Nonelective,No legislature exists,Unknown,Unknown,Unknown,Unknown,Unknown,Democratic incumbent,No,0,21,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,39.0,0
10,100,Colombia,1946,65.0,,,16331000.0,17000.0,4808000000.0,10530000.0,0.0029225,20.0,0.0,1.0,19.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,37.0,0
11,95,Panama,1946,65.0,,,,0.0,16000000.0,721000.0,9.76e-05,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Central America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,44.0,0
12,700,Afghanistan,1946,65.0,,,,90000.0,0.0,8549000.0,0.0025014,5.0,0.0,0.0,0.0,1.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,Islam,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,14,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,18.0,0
13,94,Costa Rica,1946,65.0,,,1174000.0,1000.0,36000000.0,710000.0,9.37e-05,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Central America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,3,No,No,No,No,No,Yes,No,Yes,Presidential democracy,No,No,28.0,1
14,710,China,1946,65.0,,,789300000.0,4158000.0,33776000000.0,553269000.0,0.1327105,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5780821917808219,0.0,0.0,0.0,1.0,Buddhism,Eastern Asia,Asia,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,One party outside regime,Only members from regime party,Democratic incumbent,No,0,19,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,34.0,0
15,140,Brazil,1946,65.0,,,309848000.0,119000.0,11118000000.0,47313000.0,0.0128125,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,South America,Americas,Direct election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,1,1,Yes,No,No,No,No,Yes,No,Yes,Presidential democracy,Yes,No,1.0,0
16,93,Nicaragua,1946,65.0,,,,3000.0,0.0,949000.0,0.000165,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Central America,Americas,Direct election,No legislature exists,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Rules rewritten unconstitutionally,No,0,10,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,10.0,0
17,92,El Salvador,1946,65.0,,,1516000.0,3000.0,0.0,1760000.0,0.0003208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Central America,Americas,Nonelective,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Legislature with multiple parties,Democratic incumbent,No,0,2,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,2.0,0
18,91,Honduras,1946,65.0,,,1814000.0,3000.0,0.0,1290000.0,0.00017930000000000002,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,Christianity,Central America,Americas,Indirect election,Elective legislature,Elected,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,Only members from regime party,Democratic incumbent,No,0,14,Yes,No,No,No,No,No,No,No,Military dictatorship,No,No,14.0,0
