,c_code_1,state_name_1,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,iron_steel_prod,prim_energy_consumption,total_pop,urban_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_with,avg_against,avg_cum_duration,num_wars,origin_participant_pct,ongoing_2010,revision_pct,revision_type_mode,state_fatality_bin_mode,outcome_mode,settlement_type_mode,highest_mca_mode,highest_hostility_mode,total_protestant,total_catholic,total_christian,total_jewish,total_sunni,total_shia,total_islam,total_buddhist,total_hindu,total_sikh,total_shinto,total_non_religious,territory_change,territory_change_year,election_type,legislation_type,legislature_status,party_legal_status,party_existance,party_existance_outside_regime,legislature_parties,incumbent_type,collective_leadership,num_leadership_changes,leader_tenure,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,regime_type,transition_democracy,transition_dictatorship,age_govt,num_transitions_ever
0,2,United States of America,1946,65.0,160000000.0,14.4,45133984000.0,3030000.0,120842000000.0,2376288000000.0,141389000.0,39725000.0,0.3639884,19.0,0.0,0.0,19.0,0.0,0.0,19.0,2.0,1.0,1.5,0.2684931506849315,0.0,0.5,0.0,0.0,0,[0 1],5,3,[ 7 14],3,67473753.4,39500570.0,112810898.2,4931113.0,0.0,0.0,0.0,1450113.5,0.0,0.0,0.0,22813261.2,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,77.0,0.0
1,325,Italy,1946,65.0,1595000000.0,1115890000.0,213807000.0,260000.0,2306000000.0,18536000000.0,45380000.0,8885000.0,0.01829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,0.0,44308156.8,44501118.4,46390.2,0.0,0.0,2429.4,965.6,0.0,0.0,0.0,930473.8,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
2,660,Lebanon,1946,65.0,210199997.50000003,-40999999.600000024,5111000.0,4000.0,0.0,16000000.0,1156000.0,199000.0,0.00034989999999999994,6.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,12134.0,424690.0,625385.6,0.0,327681.4,226212.4,553893.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
3,140,Brazil,1946,65.0,1211760000.0,1380820000.0,309848000.0,119000.0,686000000.0,11118000000.0,47313000.0,5521000.0,0.0128125,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,1480085.8,45049869.6,46546417.8,34978.0,0.0,0.0,0.0,106928.8,0.0,0.0,0.0,150829.8,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0,0.0
4,339,Albania,1946,65.0,400000.0,100000.0,11946000.0,60000.0,0.0,402000000.0,1138000.0,76000.0,0.0007928999999999999,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.6698630136986301,0.0,1.0,0.0,0.0,0,0,[0 5],[0 3],19,4,0.0,141442.4,382323.2,571.4,0.0,0.0,755892.0,0.0,0.0,0.0,0.0,1240.2,0.0,0.0,3.0,2.0,2.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,35.0,0.0
5,200,United Kingdom,1946,65.0,207320000.0,72810000.0,17753616000.0,2053000.0,25798000000.0,429792000000.0,49217000.0,18754000.0,0.11617269999999999,7.0,1.0,1.0,7.0,0.0,1.0,5.0,4.0,1.0,1.5,0.12808219178082192,0.0,1.0,0.0,0.0,0,0,5,3,8,3,10245563.2,3632597.6,46655596.8,390131.6,0.0,0.0,143644.2,297.2,23059.0,3402.8,0.0,2248836.4,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,36.0,0.0
6,395,Iceland,1946,65.0,96200000.0,82080000.0,0.0,0.0,0.0,24000000.0,132000.0,0.0,1.58e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,127932.0,220.8,129395.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2309.2,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,3.0,0.0
7,840,Philippines,1946,65.0,646340000.0,439310000.0,17313000.0,26500.0,0.0,130000000.0,18434000.0,1610000.0,0.0034625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,121650.0,3406200.0,3764536.4,66.0,0.0,0.0,165244.0,4420.0,0.0,661.0,0.0,5299.8,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0
8,652,Syria,1946,65.0,94400000.0,54840000.0,14540000.0,10000.0,0.0,10000000.0,2978000.0,555000.0,0.0009355,6.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,2532.2,19410.0,92647.2,1567.4,501779.2,10153.6,589531.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
9,390,Denmark,1946,65.0,436800000.0,354030000.0,52389000.0,14000.0,104000000.0,14392000000.0,4100000.0,852000.0,0.0021046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,,,0,0,,,1,1,4006313.0,19495.8,4035785.6,5832.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18342.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,46.0,0.0
