,cow_code,state_name,year,num_trade_states,export_dollars,import_dollars,military_expenditure,military_personnel,prim_energy_consumption,total_pop,cinc_score,num_alliances,pre_1816_alliances,num_in_effect_1231_2012,defense_treaties,neutrality_treaties,nonaggression_treaties,entente_treaties,num_conflicts,avg_cum_duration,num_wars,ongoing_2010,revision_pct,avg_hostility_level,num_leadership_changes,leader_tenure,age_govt,num_transitions_ever,export_import_ratio,Africa,Americas,Asia,Europe,Oceania,Direct election,Indirect election,Nonelective,Elective legislature,No legislature exists,Non‐elective legislature,Appointed,Closed,Elected,All parties legally banned,Legally single party state,Multiple parties legally allowed,Elective legislature,No legislature exists,Non‐elective legislature,Multiple parties,No parties,One party,Legislature with multiple parties,No legislature or all nonpartisan,Only members from regime party,Democratic incumbent,Rules rewritten unconstitutionally,collective_leadership,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,Civilian dictatorship,Military dictatorship,Mixed (semi‐presidential) democracy,Parliamentary democracy,Presidential democracy,Royal dictatorship,transition_to_democracy,transition_to_dictatorship
0,2,United States of America,1946,65.0,160000000.0,11343750000.0,45133984000.0,3030000.0,2376288000000.0,141389000.0,0.3639884,19.0,0.0,0.0,19.0,0.0,0.0,19.0,2.0,0.2684931506849315,0.0,0.0,0.0,3.5,0,2,77.0,0,0.014104683195592287,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
1,651,Egypt,1946,65.0,603500000.0,580390000.0,31998000.0,50000.0,4046000000.0,18792000.0,0.0058118,7.0,0.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,11,25.0,0,1.0398180533779011,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
2,135,Peru,1946,65.0,163700000.0,175990000.0,26446000.0,38000.0,2166000000.0,7420000.0,0.0019487000000000003,19.0,0.0,0.0,19.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,8.0,0,0.9301664867322007,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
3,652,Syria,1946,65.0,150000000.0,43680000.0,14540000.0,10000.0,10000000.0,2978000.0,0.0009355,6.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0,4,1.0,0,3.434065934065934,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
4,660,Lebanon,1946,65.0,147799999.9,30600000.0,5111000.0,4000.0,16000000.0,1156000.0,0.00034989999999999994,6.0,0.0,4.0,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,2,1,1.0,0,4.8300653562091505,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
5,130,Ecuador,1946,65.0,52770000.0,52110000.0,4657000.0,12000.0,1052000000.0,2850000.0,0.0008445999999999999,20.0,0.0,1.0,19.0,1.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0,3,7.0,0,1.0126655152561888,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
6,663,Jordan,1946,65.0,37100000.0,600000.0,6385000.0,8000.0,4000000.0,1086000.0,0.0002177,7.0,0.0,4.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,26,1.0,0,61.833333333333336,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7,670,Saudi Arabia,1946,65.0,112100000.0,189420000.0,16525000.0,4000.0,23436000000.0,2930000.0,0.0018055999999999997,9.0,0.0,4.0,0.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0,15,31.0,0,0.5918065674163235,0,0,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,101,Venezuela,1946,65.0,778900000.0,599260000.0,16597000.0,2000.0,6752000000.0,4390000.0,0.0012337,20.0,0.0,1.0,19.0,0.0,1.0,19.0,0.0,0.0,0.0,0.0,0.0,1.0,0,2,2.0,0,1.2997697159830457,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0
9,678,Yemen Arab Republic,1946,65.0,400000.0,1500000.0,7000000.0,18000.0,2000000.0,3140000.0,0.0006468,9.0,0.0,0.0,0.0,1.0,7.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,0,21,39.0,0,0.26666666666666666,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
