,state_name_1,year,c_code_1,un_region,un_continent,election_type,legislation_type,legislature_status,party_legal_status,party_existance,party_existance_outside_regime,legislature_parties,incumbent_type,collective_leadership,num_leadership_changes,leader_tenure,military_leader,royal_leader,nominal_vs_eff_diff,communist_leader,leader_died,democratic_regime,cabinet_assembly,popular_election,regime_type,transition_to_democracy,transition_to_dictatorship,age_govt,num_transitions_ever
0,Afghanistan,1946.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,14,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,18.0,0
1,Afghanistan,1947.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,15,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,19.0,0
2,Afghanistan,1948.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,16,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,20.0,0
3,Afghanistan,1949.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,17,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,21.0,0
4,Afghanistan,1950.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,18,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,22.0,0
5,Afghanistan,1951.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,19,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,23.0,0
6,Afghanistan,1952.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,20,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,24.0,0
7,Afghanistan,1953.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,1,1,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,25.0,0
8,Afghanistan,1954.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,2,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,26.0,0
9,Afghanistan,1955.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,3,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,27.0,0
10,Afghanistan,1956.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,4,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,28.0,0
11,Afghanistan,1957.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,5,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,29.0,0
12,Afghanistan,1958.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,6,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,30.0,0
13,Afghanistan,1959.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,7,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,31.0,0
14,Afghanistan,1960.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,8,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,32.0,0
15,Afghanistan,1961.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,9,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,33.0,0
16,Afghanistan,1962.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,10,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,34.0,0
17,Afghanistan,1963.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,No parties,No parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,1,1,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,35.0,0
18,Afghanistan,1964.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,2,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,36.0,0
19,Afghanistan,1965.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,3,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,37.0,0
20,Afghanistan,1966.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,4,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,38.0,0
21,Afghanistan,1967.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,5,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,39.0,0
22,Afghanistan,1968.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,6,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,40.0,0
23,Afghanistan,1969.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,7,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,41.0,0
24,Afghanistan,1970.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,8,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,42.0,0
25,Afghanistan,1971.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,9,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,43.0,0
26,Afghanistan,1972.0,700,Southern Asia,Asia,Nonelective,Elective legislature,Elected,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,10,No,Yes,No,No,No,No,No,No,Royal dictatorship,No,No,44.0,0
27,Afghanistan,1973.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,1,1,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,45.0,0
28,Afghanistan,1974.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,2,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,46.0,0
29,Afghanistan,1975.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,3,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,47.0,0
30,Afghanistan,1976.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,All parties legally banned,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,4,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,48.0,0
31,Afghanistan,1977.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Legally single party state,One party,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,5,No,No,No,No,Yes,No,No,No,Civilian dictatorship,No,No,49.0,0
32,Afghanistan,1978.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Legally single party state,One party,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,1,1,No,No,No,No,Yes,No,No,No,Civilian dictatorship,No,No,50.0,0
33,Afghanistan,1979.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,2,1,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,51.0,0
34,Afghanistan,1980.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,Multiple parties outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,2,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,52.0,0
35,Afghanistan,1981.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,3,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,53.0,0
36,Afghanistan,1982.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,4,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,54.0,0
37,Afghanistan,1983.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,5,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,55.0,0
38,Afghanistan,1984.0,700,Southern Asia,Asia,Nonelective,No legislature exists,Closed,Multiple parties legally allowed,Multiple parties,One party outside regime,No legislature or all nonpartisan,Democratic incumbent,No,0,6,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,56.0,0
39,Afghanistan,1985.0,700,Southern Asia,Asia,Nonelective,Non‐elective legislature,Appointed,Multiple parties legally allowed,Multiple parties,One party outside regime,Only members from regime party,Democratic incumbent,No,1,1,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,57.0,0
40,Afghanistan,1986.0,700,Southern Asia,Asia,Nonelective,Non‐elective legislature,Appointed,Multiple parties legally allowed,Multiple parties,One party outside regime,Only members from regime party,Democratic incumbent,No,0,2,No,No,Yes,No,No,No,No,No,Civilian dictatorship,No,No,58.0,0
41,Afghanistan,1987.0,700,Southern Asia,Asia,Nonelective,Non‐elective legislature,Appointed,Multiple parties legally allowed,Multiple parties,One party outside regime,Only members from regime party,Democratic incumbent,No,0,3,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,59.0,0
42,Afghanistan,1988.0,700,Southern Asia,Asia,Nonelective,Non‐elective legislature,Appointed,Multiple parties legally allowed,Multiple parties,One party outside regime,Only members from regime party,Democratic incumbent,No,0,4,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,60.0,0
43,Afghanistan,1989.0,700,Southern Asia,Asia,Nonelective,Non‐elective legislature,Elected,Multiple parties legally allowed,Multiple parties,One party outside regime,Legislature with multiple parties,Democratic incumbent,No,0,5,No,No,No,No,No,No,No,No,Civilian dictatorship,No,No,61.0,0
