,state_name_1,c_code_1,year,military_expenditure,military_personnel,iron_steel_prod,prim_energy_consumption,total_pop,urban_pop,cinc_score
0,United States of America,2,1816,3823000.0,17000.0,160000000.0,508000000.0,8659000.0,101000.0,0.039697500000000004
1,Spain,230,1816,6512000.0,125000.0,20000000.0,0.0,11073000.0,221000.0,0.0463931
2,Netherlands,210,1816,2375000.0,26000.0,100000000.0,2284000000.0,5610000.0,337000.0,0.0399142
3,Portugal,235,1816,,22000.0,0.0,0.0,2746000.0,179000.0,0.0106059
4,United Kingdom,200,1816,16942000.0,255000.0,540000000.0,45056000000.0,19520000.0,1957000.0,0.33661940000000007
5,Bavaria,245,1816,549000.0,,20000000.0,68000000.0,3636000.0,0.0,0.007948100000000001
6,Germany,255,1816,3516000.0,130000.0,100000000.0,2400000000.0,10349000.0,196000.0,0.0522198
7,Baden,267,1816,,10000.0,0.0,,1006000.0,0.0,0.00242
8,Saxony,269,1816,,13000.0,0.0,,1192000.0,0.0,0.0030127
9,Wuerttemburg,271,1816,251000.0,6000.0,0.0,,1410000.0,0.0,0.0027995
10,Hesse Grand Ducal,275,1816,,8000.0,0.0,,588000.0,0.0,0.0016866
11,Austria-Hungary,300,1816,,222000.0,120000000.0,200000000.0,29483000.0,655000.0,0.0860522
12,Italy,325,1816,836000.0,19000.0,0.0,0.0,3760000.0,0.0,0.006969400000000001
13,Papal States,327,1816,,2000.0,0.0,,2355000.0,147000.0,0.0089736
14,Two Sicilies,329,1816,,27000.0,0.0,,6573000.0,465000.0,0.0299878
15,Tuscany,337,1816,101000.0,4000.0,0.0,,1163000.0,0.0,0.0018349
16,Russia,365,1816,10582000.0,800000.0,248000000.0,30000000.0,45900000.0,204000.0,0.1643041
17,Sweden,380,1816,,,140000000.0,16000000.0,3400000.0,0.0,0.0248457
18,Denmark,390,1816,,32000.0,0.0,48000000.0,1761000.0,0.0,0.0050356
19,Turkey,640,1816,,121000.0,0.0,2000000.0,25191000.0,793000.0,0.0613591
20,Switzerland,225,1816,,0.0,0.0,16000000.0,1898000.0,0.0,0.0018077000000000002
21,France,220,1816,10554000.0,132000.0,230000000.0,1874000000.0,29480000.0,858000.0,0.11728599999999999
22,Hesse Electoral,273,1816,,9000.0,0.0,82000000.0,555000.0,0.0,0.0017317999999999997
23,Baden,267,1817,,10000.0,0.0,,1010000.0,0.0,0.0025258000000000004
24,Netherlands,210,1817,2450000.0,27000.0,100000000.0,2398000000.0,5672000.0,342000.0,0.0405668
25,Portugal,235,1817,,22000.0,0.0,0.0,2768000.0,181000.0,0.010746799999999999
26,Austria-Hungary,300,1817,6815000.0,202000.0,140000000.0,200000000.0,29769000.0,658000.0,0.093779
27,Turkey,640,1817,,121000.0,0.0,2000000.0,25500000.0,801000.0,0.0622179
28,Russia,365,1817,8425000.0,700000.0,264000000.0,30000000.0,46600000.0,232000.0,0.1573987
29,Papal States,327,1817,,3000.0,0.0,,2368000.0,147000.0,0.0089974
30,United States of America,2,1817,2466000.0,15000.0,160000000.0,554000000.0,8899000.0,106000.0,0.0358166
31,Hesse Grand Ducal,275,1817,,8000.0,0.0,,630000.0,0.0,0.0018184000000000002
32,Sweden,380,1817,,,140000000.0,16000000.0,3442000.0,0.0,0.024501
33,Spain,230,1817,4703000.0,126000.0,20000000.0,0.0,11156000.0,228000.0,0.0424208
34,Two Sicilies,329,1817,,27000.0,0.0,,6651000.0,468000.0,0.030040499999999998
