,dispute_id,c_code_1,state_name_abb_a,c_code_2,state_name_abb_b,year,outcome,settlement_type,total_fatality_bin,num_with,num_against,revision_sought,revision_type,state_fatality_bin,hostility_level,origin_participant,war,year_num,cumulative_duration,ongoing_2010,date_start,date_end,initiator
3544,1792,220,FRN,800,THI,1946,Stalemate,Negotiated,101-250,1,1,0,N/A,1-25,4,1,0,1,251,0,1946-04-01,1946-12-07,1.0
3545,1792,800,THI,220,FRN,1946,Stalemate,Negotiated,101-250,1,1,0,N/A,101-250,4,1,0,1,251,0,1946-04-01,1946-12-07,0.0
3546,2704,710,CHN,365,RUS,1946,Unclear,Unclear,None Value,1,1,0,N/A,None Value,1,1,0,2,211,0,1945-10-06,1946-05-03,0.0
3547,3192,200,UKG,345,YUG,1946,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,1,0,1946-10-05,1946-10-05,1.0
3548,3192,345,YUG,200,UKG,1946,Stalemate,None Value,None Value,1,1,0,N/A,None Value,4,1,0,1,1,0,1946-10-05,1946-10-05,0.0
3549,2704,365,RUS,710,CHN,1946,Unclear,Unclear,None Value,1,1,1,Regime/Government,None Value,4,1,0,2,211,0,1945-10-06,1946-05-03,1.0
3550,3193,345,YUG,2,USA,1946,Stalemate,None Value,1-25,1,1,0,N/A,None Value,4,1,0,1,23,0,1946-08-09,1946-08-31,0.0
3551,2371,339,ALB,350,GRC,1946,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,306,0,1946-03-01,1947-04-16,0.0
3552,3193,2,USA,345,YUG,1946,Stalemate,None Value,1-25,1,1,0,N/A,1-25,4,1,0,1,23,0,1946-08-09,1946-08-31,1.0
3553,2371,350,GRC,339,ALB,1946,N/A,N/A,None Value,1,1,0,N/A,None Value,4,1,0,1,306,0,1946-03-01,1947-04-16,1.0
3554,603,200,UKG,365,RUS,1946,Stalemate,None Value,None Value,1,2,0,N/A,None Value,3,1,0,1,1,0,1946-08-03,1946-08-03,1.0
3555,252,365,RUS,2,USA,1946,Stalemate,None Value,None Value,1,2,1,Territory,None Value,3,1,0,1,173,0,1946-04-15,1946-10-04,1.0
3556,20,630,IRN,365,RUS,1946,Yield by State B,Negotiated,None Value,1,1,0,N/A,None Value,1,1,0,2,174,0,1945-11-18,1946-05-09,0.0
3557,252,2,USA,365,RUS,1946,Stalemate,None Value,None Value,1,2,0,N/A,None Value,3,0,0,1,173,0,1946-04-15,1946-10-04,0.0
3558,20,365,RUS,630,IRN,1946,Yield by for State A,Negotiated,None Value,1,1,1,Policy,None Value,3,1,0,2,174,0,1945-11-18,1946-05-09,1.0
3559,4,339,ALB,200,UKG,1946,Stalemate,None Value,26-100,1,1,0,N/A,None Value,4,1,0,1,183,0,1946-05-15,1946-11-13,1.0
3560,4,200,UKG,339,ALB,1946,Stalemate,None Value,26-100,1,1,0,N/A,26-100,3,1,0,1,183,0,1946-05-15,1946-11-13,0.0
3561,252,365,RUS,640,TUR,1946,Stalemate,None Value,None Value,1,2,1,Territory,None Value,3,1,0,2,306,0,1945-12-04,1946-10-04,1.0
3562,252,640,TUR,365,RUS,1946,Stalemate,None Value,None Value,1,2,0,N/A,None Value,3,1,0,2,306,0,1945-12-04,1946-10-04,0.0
3563,603,365,RUS,200,UKG,1946,Stalemate,None Value,None Value,1,2,0,N/A,None Value,3,0,0,1,1,0,1946-08-03,1946-08-03,0.0
3564,603,200,UKG,630,IRN,1946,Stalemate,None Value,None Value,1,2,0,N/A,None Value,3,1,0,1,2,0,1946-08-02,1946-08-03,1.0
3565,603,630,IRN,200,UKG,1946,Stalemate,None Value,None Value,1,2,0,N/A,None Value,1,1,0,1,2,0,1946-08-02,1946-08-03,0.0
3566,3265,365,RUS,710,CHN,1947,N/A,N/A,None Value,2,1,0,N/A,None Value,4,1,0,1,234,0,1947-05-12,1948-02-28,1.0
3567,3265,710,CHN,365,RUS,1947,N/A,N/A,None Value,2,1,0,N/A,None Value,4,1,0,1,234,0,1947-05-12,1948-02-28,0.0
3568,3265,710,CHN,712,MON,1947,N/A,N/A,None Value,2,1,0,N/A,None Value,4,1,0,1,234,0,1947-05-12,1948-02-28,0.0
3569,1238,770,PAK,750,IND,1947,N/A,N/A,None Value,1,1,1,Territory,None Value,5,1,1,1,97,0,1947-09-26,1948-12-31,0.0
3570,1238,750,IND,770,PAK,1947,N/A,N/A,None Value,1,1,0,N/A,None Value,5,1,1,1,97,0,1947-09-26,1948-12-31,1.0
3571,1077,750,IND,770,PAK,1947,Victory for State A,Imposed,None Value,1,1,0,N/A,None Value,3,1,0,1,50,0,1947-09-22,1947-11-10,1.0
3572,1077,770,PAK,750,IND,1947,Victory for State B,Imposed,None Value,1,1,0,N/A,None Value,2,1,0,1,50,0,1947-09-22,1947-11-10,0.0
