,year,c_code_1,state_name_1,total_protestant,total_catholic,total_christian,total_jewish,total_sunni,total_shia,total_islam,total_buddhist,total_hindu,total_sikh,total_shinto,total_non_religious
0,1945,2,USA,66069671,38716742,110265118,4641182,0,0,0,1601218,0,0,0,22874544
1,1950,2,USA,73090083,42635882,122994019,6090837,0,0,0,0,0,0,0,22568130
2,1955,2,USA,79294628,46402368,134001770,5333332,0,0,0,90173,0,0,0,23303540
3,1960,2,USA,90692928,50587880,150234347,5500000,0,0,0,2012131,0,0,0,21548225
4,1965,2,USA,94165803,64761783,167515758,5600000,0,0,0,1080892,0,0,0,19852362
5,1970,2,USA,93918347,69119143,172867051,6150000,0,0,0,1113861,0,0,0,20474592
6,1975,2,USA,93578909,77181399,182810532,6700000,0,0,0,1019556,159778,1597,0,24789671
7,1980,2,USA,101216516,75149580,186649864,7259000,2407464,254121,2666560,1357967,995149,0,0,26813635
8,1985,2,USA,107309700,82463100,199787782,7510000,2186675,298183,2484858,1984325,1005000,0,0,25396899
9,1990,2,USA,132040181,65530789,214425162,5508504,2019386,275371,2294757,1575481,323352,18517,59724,24413914
10,1995,2,USA,123669458,70308695,215593975,5259463,2134332,291045,2425377,1608346,574269,47402,57972,34475517
11,2000,2,USA,115298736,75086601,219818305,5010424,2249277,306720,2555997,2449569,825186,76286,56220,44537120
12,2005,2,USA,117527349,76742245,226464805,5536622,2363129,322245,2685374,3682694,1311442,269862,60560,51781800
13,2010,2,USA,119755961,78397889,233111307,5942248,2476980,337770,2814750,3410236,1797698,406908,156375,59422500
14,1945,20,CAN,4002534,5038280,10531961,176690,0,0,0,115066,0,5000,0,0
15,1950,20,CAN,4098000,6181650,12225479,179954,0,0,2006,112006,2006,10001,0,128304
16,1955,20,CAN,4248720,7338356,13969532,217160,0,0,1003,446608,1003,5000,0,64152
17,1960,20,CAN,4635491,8495062,16170219,254366,0,0,0,781211,0,0,0,0
18,1965,20,CAN,5138863,9051880,17316559,286649,0,0,0,790000,0,0,0,500000
19,1970,20,CAN,5750190,10009590,17889480,287509,0,0,41103,15696,19615,19615,0,713821
20,1975,20,CAN,6124060,11633595,20097739,303695,0,0,43385,16527,20659,7230,0,2444940
21,1980,20,CAN,6792962,11670690,21554382,308594,158057,17562,175619,20847,50986,9064,0,1959478
22,1985,20,CAN,7450000,12636160,23296160,313572,191529,21281,212810,0,0,0,0,2011269
23,1990,20,CAN,7936000,12720000,24346000,350000,225000,25000,250000,500000,155000,240000,0,1545500
24,1995,20,CAN,8001536,13399222,24958842,361880,112500,12500,125000,250000,170941,197867,272,2772795
25,2000,20,CAN,8067073,14078444,25571687,373762,252291,28032,280323,360000,186882,155735,545,4000090
26,2005,20,CAN,8996090,13649240,26057640,341229,581400,64600,646000,605000,193800,161500,565,4100000
27,2010,20,CAN,7929127,14497030,26431104,340304,600000,70000,670000,670000,275000,275000,915,5670000
28,1975,31,BHM,100339,15750,164603,768,0,0,0,0,0,0,0,6421
29,1980,31,BHM,104580,21000,174180,620,0,0,0,0,0,0,0,6940
30,1985,31,BHM,109000,28000,185700,500,0,0,0,0,0,0,0,7500
31,1990,31,BHM,124600,35475,209670,400,0,0,0,0,0,0,0,5225
32,1995,31,BHM,148938,49688,253645,0,0,0,0,0,0,0,0,0
33,2000,31,BHM,207870,43050,297045,300,0,0,0,0,0,0,0,8917
34,2005,31,BHM,219700,45500,313950,317,0,0,0,0,0,0,0,9425
35,2010,31,BHM,211798,43863,302657,305,0,0,0,0,0,0,0,9086
36,1945,40,CUB,185865,4387700,4573565,0,0,0,0,0,0,0,0,0
