,year,c_code_1,state_name_1,majority_religion
0,1945.0,2,USA,Christianity
1,1946.0,2,United States of America,Christianity
2,1947.0,2,United States of America,Christianity
3,1948.0,2,United States of America,Christianity
4,1949.0,2,United States of America,Christianity
5,1950.0,2,USA,Christianity
6,1951.0,2,United States of America,Christianity
7,1952.0,2,United States of America,Christianity
8,1953.0,2,United States of America,Christianity
9,1954.0,2,United States of America,Christianity
10,1955.0,2,USA,Christianity
11,1956.0,2,United States of America,Christianity
12,1957.0,2,United States of America,Christianity
13,1958.0,2,United States of America,Christianity
14,1959.0,2,United States of America,Christianity
15,1960.0,2,USA,Christianity
16,1961.0,2,United States of America,Christianity
17,1962.0,2,United States of America,Christianity
18,1963.0,2,United States of America,Christianity
19,1964.0,2,United States of America,Christianity
20,1965.0,2,USA,Christianity
21,1966.0,2,United States of America,Christianity
22,1967.0,2,United States of America,Christianity
23,1968.0,2,United States of America,Christianity
24,1969.0,2,United States of America,Christianity
25,1970.0,2,USA,Christianity
26,1971.0,2,United States of America,Christianity
27,1972.0,2,United States of America,Christianity
28,1973.0,2,United States of America,Christianity
29,1974.0,2,United States of America,Christianity
30,1975.0,2,USA,Christianity
31,1976.0,2,United States of America,Christianity
32,1977.0,2,United States of America,Christianity
33,1978.0,2,United States of America,Christianity
34,1979.0,2,United States of America,Christianity
35,1980.0,2,USA,Christianity
36,1981.0,2,United States of America,Christianity
37,1982.0,2,United States of America,Christianity
38,1983.0,2,United States of America,Christianity
39,1984.0,2,United States of America,Christianity
40,1985.0,2,USA,Christianity
41,1986.0,2,United States of America,Christianity
42,1987.0,2,United States of America,Christianity
43,1988.0,2,United States of America,Christianity
44,1989.0,2,United States of America,Christianity
45,1990.0,2,USA,Christianity
46,1991.0,2,United States of America,Christianity
47,1992.0,2,United States of America,Christianity
48,1993.0,2,United States of America,Christianity
49,1994.0,2,United States of America,Christianity
50,1995.0,2,USA,Christianity
51,1996.0,2,United States of America,Christianity
52,1997.0,2,United States of America,Christianity
53,1998.0,2,United States of America,Christianity
54,1999.0,2,United States of America,Christianity
55,2000.0,2,USA,Christianity
56,2001.0,2,United States of America,Christianity
57,2002.0,2,United States of America,Christianity
58,2003.0,2,United States of America,Christianity
59,2004.0,2,United States of America,Christianity
60,2005.0,2,USA,Christianity
61,2006.0,2,United States of America,Christianity
62,2007.0,2,United States of America,Christianity
63,2008.0,2,United States of America,Christianity
64,2009.0,2,United States of America,Christianity
65,2010.0,2,USA,Christianity
66,1945.0,20,CAN,Christianity
67,1946.0,20,Canada,Christianity
68,1947.0,20,Canada,Christianity
69,1948.0,20,Canada,Christianity
70,1949.0,20,Canada,Christianity
71,1950.0,20,CAN,Christianity
72,1951.0,20,Canada,Christianity
73,1952.0,20,Canada,Christianity
74,1953.0,20,Canada,Christianity
75,1954.0,20,Canada,Christianity
76,1955.0,20,CAN,Christianity
77,1956.0,20,Canada,Christianity
78,1957.0,20,Canada,Christianity
79,1958.0,20,Canada,Christianity
80,1959.0,20,Canada,Christianity
81,1960.0,20,CAN,Christianity
82,1961.0,20,Canada,Christianity
83,1962.0,20,Canada,Christianity
84,1963.0,20,Canada,Christianity
85,1964.0,20,Canada,Christianity
86,1965.0,20,CAN,Christianity
87,1966.0,20,Canada,Christianity
88,1967.0,20,Canada,Christianity
89,1968.0,20,Canada,Christianity
90,1969.0,20,Canada,Christianity
91,1970.0,20,CAN,Christianity
92,1971.0,20,Canada,Christianity
93,1972.0,20,Canada,Christianity
94,1973.0,20,Canada,Christianity
95,1974.0,20,Canada,Christianity
96,1975.0,20,CAN,Christianity
97,1976.0,20,Canada,Christianity
98,1977.0,20,Canada,Christianity
99,1978.0,20,Canada,Christianity
100,1979.0,20,Canada,Christianity
101,1980.0,20,CAN,Christianity
102,1981.0,20,Canada,Christianity
103,1982.0,20,Canada,Christianity
104,1983.0,20,Canada,Christianity
105,1984.0,20,Canada,Christianity
106,1985.0,20,CAN,Christianity
107,1986.0,20,Canada,Christianity
108,1987.0,20,Canada,Christianity
109,1988.0,20,Canada,Christianity
110,1989.0,20,Canada,Christianity
111,1990.0,20,CAN,Christianity
